date,amount,category,description
2024-01-01,6871.09,Expense,Rent payment
2024-01-02,5480.19,Income,Rent payment
2024-01-03,2049.92,Income,Electricity bill
2024-01-04,9013.73,Income,Car maintenance
2024-01-05,-503.89,Income,Health insurance
2024-01-06,204.14,Income,Tuition fees
2024-01-07,3307.93,Expense,Charity donation
2024-01-08,368.81,Income,Advertising fees
2024-01-09,9520.57,Expense,Furniture purchase
2024-01-10,7777.88,Expense,Insurance premium
2024-01-11,1848.81,Income,Garden supplies
2024-01-12,5474.1,Income,Household items
2024-01-13,9805.64,Expense,Concert tickets
2024-01-14,8726.19,Income,Parking fees
2024-01-15,5608.78,Income,Furniture purchase
2024-01-16,8940.96,Expense,Courier service
2024-01-17,9881.03,Expense,Insurance premium
2024-01-18,7176.88,Income,Office supplies
2024-01-19,-285.15,Expense,Concert tickets
2024-01-20,3417.38,Income,Insurance premium
2024-01-21,8216.08,Income,Dining out
2024-01-22,1536.26,Income,Internet bill
2024-01-23,8137.07,Expense,Grocery shopping
2024-01-24,323.73,Expense,Travel expenses
2024-01-25,-483.6,Expense,Freelance project
2024-01-26,3225.0,Expense,Travel expenses
2024-01-27,-595.95,Expense,Insurance premium
2024-01-28,9529.97,Income,Courier service
2024-01-29,8088.26,Income,Home improvement
2024-01-30,7808.47,Income,Childcare fees
2024-01-31,5927.56,Income,Advertising fees
2024-02-01,1379.56,Expense,Parking fees
2024-02-02,4700.86,Income,Holiday expenses
2024-02-03,5570.01,Expense,Book purchase
2024-02-04,4775.35,Income,Charity donation
2024-02-05,1862.57,Expense,Furniture purchase
2024-02-06,4667.73,Expense,Health insurance
2024-02-07,4403.05,Income,Freelance project
2024-02-08,9959.69,Income,Furniture purchase
2024-02-09,8871.8,Income,Advertising fees
2024-02-10,4097.19,Income,Dining out
2024-02-11,5852.31,Expense,Gift purchase
2024-02-12,7226.59,Income,Holiday expenses
2024-02-13,-616.48,Income,Grocery shopping
2024-02-14,8844.14,Expense,Concert tickets
2024-02-15,8461.39,Income,Childcare fees
2024-02-16,4031.75,Income,Parking fees
2024-02-17,3302.87,Income,Parking fees
2024-02-18,2002.55,Income,Taxi fare
2024-02-19,4243.45,Income,Legal fees
2024-02-20,-511.86,Expense,Concert tickets
2024-02-21,8374.13,Income,Freelance project
2024-02-22,-610.35,Income,Medical expenses
2024-02-23,2619.57,Income,Online course
2024-02-24,9247.48,Income,Travel expenses
2024-02-25,7087.34,Income,Beauty products
2024-02-26,2095.3,Expense,Courier service
2024-02-27,1779.14,Income,Rent payment
2024-02-28,-944.1,Expense,Health insurance
2024-02-29,6652.86,Expense,Savings deposit
2024-03-01,-463.38,Income,Advertising fees
2024-03-02,4858.63,Income,Taxi fare
2024-03-03,9583.34,Income,Photography service
2024-03-04,204.16,Income,Legal fees
2024-03-05,8839.28,Expense,Gift purchase
2024-03-06,9906.23,Income,Taxi fare
2024-03-07,-323.31,Income,Home improvement
2024-03-08,8711.97,Income,Beauty products
